min_kwh,max_kwh,unit_price,fix_rate,plan_name,provider_name
0,120,19.88,false,従量電灯B,東京電力エナジーパートナー
121,300,26.48,false,従量電灯B,東京電力エナジーパートナー
301,,30.57,false,従量電灯B,東京電力エナジーパートナー
0,120,29.80,false,スタンダードS,東京電力エナジーパートナー
121,300,36.40,false,スタンダードS,東京電力エナジーパートナー
301,,40.49,false,スタンダードS,東京電力エナジーパートナー
0,140,23.67,false,ずっとも電気1,東京ガス
141,350,23.88,false,ずっとも電気1,東京ガス
351,,26.41,false,ずっとも電気1,東京ガス
0,,28.8,true,おうちプラン,Looopでんき
